,rmse_full
VPC3_TVrw,0.5355032735661863
VPC3_cov,0.5355181246437125
VPC1+VPC3_cov,0.543834526346747
VPC3+VPC4_cov,0.5456313911088486
VPC3_nocov,0.5610269804615224
VPC3_cov_L1,0.5625424473599453
VPC4_cov,0.563604247280775
VPC3+VPC4_cov_L0,0.566414189688688
VPC3_cov_L0,0.566798435049134
VPC1+VPC3_cov_L0,0.5670152376324051
VPC2+VPC3_cov_L0,0.5683993798512256
VPC1+VPC4_cov,0.5685497548732406
VPC4_cov_L0,0.5703424858908038
VPC2+VPC4_cov_L0,0.5720252361032583
VPC1_cov,0.5723492504401257
PLS1_exog,0.5777935305054113
VPC4_nocov,0.5802826133414823
VPC1_cov_L0,0.5824669078816785
VPC2+VPC3_cov,0.5829854790484011
AR1,0.5863785243895558
VPC1_nocov,0.5878844008944811
VPC2_nocov,0.5886276398798594
VPC1+VPC3_cov_L1,0.5939649145171002
VPC2_cov_L0,0.5969801662286194
VPC4_cov_L1,0.6041693374266072
AR2,0.6063439540090085
VPC2+VPC4_cov,0.6081127441757522
VPC1_cov_L1,0.615133510728682
VPC3+VPC4_cov_L1,0.6170450681180619
VPC1+VPC4_cov_L1,0.6173316193754025
VPC1+VPC2_cov_L0,0.625020119774927
VPC2+VPC3_cov_L1,0.6702006360986559
VPC2_cov_L1,0.7097207438636316
VPC2_cov,0.7102548855675723
VPC2+VPC4_cov_L1,0.7260463636111327
VPC1+VPC2_cov,0.8071293496589145
VPC1+VPC2_cov_L1,0.8610438846789236
VPC1+VPC4_cov_L0,0.8966731364715596
