,rmse_full,rmse_exc
A:PLS1 p1 K0 cov,0.5902298731288468,0.47158139668010224
A:PLS1 p1 K1 cov,0.5984188509291967,0.45899568221711634
A:PLS1 p1 K2 cov,0.577776361815145,0.4365099722866965
A:PLS1 p1 K2 nocov,0.5757066051813143,0.4312445287675191
A:PLS1 p2 K2 cov,0.6086926217212765,0.48703387966095774
A:PLS12 p1 K1 cov,0.6074016677377724,0.4794452956546589
A:PLS12 p1 K2 cov,0.6013168199327685,0.45960440865792407
B:PLS1 p1 K2 cov,0.5840586844302789,0.4706507319979405
B:PLS1 p1 K3 cov,0.5707603008384571,0.47034545250415144
B:PLS1 p2 K2 cov,0.5835478551010432,0.46953985199716386
B:PLS12 p1 K2 cov,0.8079437048560004,0.44264120637692866
