param,model,coef,se,t,p
phi1,VPC3,0.9890031074365462,0.012457005671599047,79.3933256120604,0.0
la1,VPC3,0.30734941673223753,0.10224644344505938,3.0059668226737606,0.002647378814791789
la2,VPC3,-4.018164067885798e-05,0.12761168682582924,-0.0003148743009227664,0.9997487666608516
la3,VPC3,-2.9920326120246955e-05,0.20656168476358142,-0.00014484935168151844,0.9998844269390551
sig_u,VPC3,0.0695275879348916,0.021072147095359612,3.2995018315054647,0.0009685659553473485
sig_pca,VPC3,0.9555963461920159,0.027262861308261516,35.05121254101233,3.736785928179809e-269
sig_eta,VPC3,0.17086001512427954,0.017685190815777106,9.661191496551673,4.407079891999406e-22
beta_a_lag1,VPC3,0.034436327573021126,-0.0,-inf,0.0
beta_a_lag2,VPC3,0.07695930586840202,-0.0,-inf,0.0
phi1,VPC3 + COVID,0.9888722536752398,0.012295687978930957,80.42431260208483,0.0
la1,VPC3 + COVID,0.3077286751493181,0.10365897395392035,2.9686641051079006,0.0029909734643867405
la2,VPC3 + COVID,-3.8620092862638165e-05,0.12649449272545446,-0.0003053104687052249,0.9997563974945531
la3,VPC3 + COVID,-2.8880836625230453e-05,0.20521223735122304,-0.00014073642487411986,0.999887708579821
sig_u,VPC3 + COVID,0.0682657919617104,0.02148609203153372,3.1772083942264233,0.0014870014441298873
sig_pca,VPC3 + COVID,0.9555524089189762,0.027246970453870124,35.07004239376825,1.9299676024907772e-269
sig_eta,VPC3 + COVID,0.17152867352741882,0.0174946257392982,9.804649501138726,1.075196240946124e-22
beta_a_lag1,VPC3 + COVID,0.027708700704812766,-0.0,-inf,0.0
beta_a_lag2,VPC3 + COVID,0.08614362123349407,-0.0,-inf,0.0
delta_covid,VPC3 + COVID,0.0004498624924039871,-0.0,-inf,0.0
phi1,VPC3+VPC4 (headline),0.9880885455673522,0.013281965213657336,74.39324901644363,0.0
la1,VPC3+VPC4 (headline),0.9164413020509131,0.5250259707343928,1.7455161327905715,0.0808950667262109
la2,VPC3+VPC4 (headline),0.8403108008986242,0.4988224710376695,1.68458890625071,0.09206791319567134
la3,VPC3+VPC4 (headline),-1.4277984717275498,0.5346636277467808,-2.670461197715439,0.007574712582672103
lb1,VPC3+VPC4 (headline),1.6226577879419954,0.43714892568561636,3.7119107301866263,0.0002057005405935933
lb2,VPC3+VPC4 (headline),-0.49358568376083695,0.5131599402925934,-0.9618554470160013,0.3361222211701985
lb3,VPC3+VPC4 (headline),-0.9737254574589582,0.46708949496955077,-2.084665718124178,0.037099654561006
sig_u,VPC3+VPC4 (headline),0.06281665773531635,0.02099238819674875,2.992354045026913,0.0027683500613786055
sig_pca,VPC3+VPC4 (headline),0.88232111464876,0.053543454510463925,16.47859897564751,5.228243525014638e-61
sig_pcb,VPC3+VPC4 (headline),0.9214124581538489,0.03604831854734116,25.56048368646615,4.198496794255557e-144
sig_eta,VPC3+VPC4 (headline),0.17982486468207276,0.015478044692756418,11.618060824325513,3.336228326038472e-31
beta_a_lag1,VPC3+VPC4 (headline),0.040943063167438405,-0.0,-inf,0.0
beta_a_lag2,VPC3+VPC4 (headline),0.022415003645428287,-0.0,-inf,0.0
beta_b_lag1,VPC3+VPC4 (headline),-0.1262862512352661,-0.0,inf,0.0
beta_b_lag2,VPC3+VPC4 (headline),0.05594362780765566,-0.0,-inf,0.0
