param,model,coef,se,t,p
const,VPC3,-9.899004326114442e-05,0.0012304938796435549,-0.08044740806822989,0.935881422872198
VPC3_lag1,VPC3,-0.005803119025823614,0.005908461135137016,-0.9821709736420294,0.3260156248700359
VPC3_lag2,VPC3,0.009876970130653357,0.008159659625146715,1.2104634977927482,0.2261010892415466
const,VPC3 + COVID,-0.0002143933601489829,0.0010978999107378131,-0.19527586991505064,0.8451769864412029
VPC3_lag1,VPC3 + COVID,-0.00582593713964549,0.0059053431732693056,-0.9865535276623298,0.3238615619989498
VPC3_lag2,VPC3 + COVID,0.009863498284007694,0.008140968261427942,1.211587856292369,0.22567018538000916
COVID,VPC3 + COVID,0.000980280036260793,0.0069510338034830515,0.1410265097214159,0.8878489999014298
const,VPC3+VPC4 (headline),-3.8269980555573216e-05,0.0011392013779174444,-0.03359369229831336,0.973201152247726
VPC3_lag1,VPC3+VPC4 (headline),-0.0013814902287718278,0.004400624462613956,-0.3139304979346561,0.7535738264557617
VPC3_lag2,VPC3+VPC4 (headline),0.000691721102664836,0.004971106562692286,0.1391483151570601,0.8893329495861673
VPC4_lag1,VPC3+VPC4 (headline),-0.016626741265125315,0.008403268495568862,-1.9786040722003329,0.04786060082010765
VPC4_lag2,VPC3+VPC4 (headline),0.018559589572706616,0.009459903049668693,1.9619217528192971,0.049771594831863636
