,RMSE,MCS_p
VPC3+VPC4_nocov,0.4232,1.0
VPC2+VPC3_nocov,0.4332,0.935
VPC3_nocov,0.4433,0.935
VPC3_cov,0.4441,0.935
VPC3+VPC4_cov,0.4463,0.935
AR2,0.4474,0.935
VPC1+VPC2_nocov,0.4518,0.935
VPC2_nocov,0.4551,0.935
VPC1+VPC3_nocov,0.4555,0.935
VPC2+VPC4_nocov,0.4566,0.855
VPC1+VPC4_nocov,0.4583,0.935
VPC1+VPC3_cov,0.4633,0.802
VPC4_nocov,0.4655,0.796
VPC2+VPC3_cov,0.4688,0.935
VPC1_nocov,0.4691,0.796
AR1,0.4691,0.802
VPC1_cov,0.4738,0.777
VPC4_cov,0.4763,0.535
NoTrends,0.4795,0.796
VPC1+VPC4_cov,0.4814,0.796
NoTrends_cov,0.4828,0.777
VPC2+VPC4_cov,0.5015,0.786
VPC2_cov,0.5191,0.777
VPC1+VPC2_cov,0.5412,0.399
