,RMSE,MCS_p
VPC3+VPC4_nocov,0.5325,1.0
VPC3_cov,0.5355,0.951
VPC1+VPC3_cov,0.5438,0.951
VPC3+VPC4_cov,0.5456,0.951
VPC2+VPC3_nocov,0.5511,0.951
VPC1+VPC3_nocov,0.5581,0.916
VPC3_nocov,0.561,0.916
VPC4_cov,0.5636,0.916
VPC1+VPC4_cov,0.5685,0.916
VPC1_cov,0.5723,0.891
VPC1+VPC2_nocov,0.5745,0.916
VPC4_nocov,0.5803,0.891
VPC2+VPC4_nocov,0.5804,0.891
VPC2+VPC3_cov,0.583,0.891
AR1,0.5864,0.891
VPC1+VPC4_nocov,0.5873,0.891
VPC1_nocov,0.5879,0.891
VPC2_nocov,0.5886,0.891
NoTrends,0.5948,0.832
NoTrends_cov,0.6008,0.767
AR2,0.6063,0.774
VPC2+VPC4_cov,0.6081,0.891
VPC2_cov,0.7103,0.274
VPC1+VPC2_cov,0.8071,0.256
