model,RMSE,RMSE_exC,RMSE_ratio,p_DM,p_CW
VPC3+VPC4_nocov,0.5325,0.4232,0.9081,0.1208,0.0183
VPC3_cov,0.5355,0.4441,0.9133,0.1927,0.0289
VPC1+VPC3_cov,0.5438,0.4633,0.9274,0.3783,0.0285
VPC3+VPC4_cov,0.5456,0.4463,0.9305,0.5032,0.0399
VPC2+VPC3_nocov,0.5511,0.4332,0.9399,0.0981,0.0087
VPC1+VPC3_nocov,0.5581,0.4555,0.9518,0.1672,0.0129
VPC3_nocov,0.561,0.4433,0.9568,0.1568,0.0148
VPC4_cov,0.5636,0.4763,0.9612,0.619,0.0708
VPC1+VPC4_cov,0.5685,0.4814,0.9696,0.7139,0.0334
VPC1_cov,0.5723,0.4738,0.9761,0.6789,0.0265
VPC1+VPC2_nocov,0.5745,0.4518,0.9798,0.5648,0.0456
VPC4_nocov,0.5803,0.4655,0.9896,0.7129,0.1524
VPC2+VPC4_nocov,0.5804,0.4566,0.9898,0.7677,0.1163
VPC2+VPC3_cov,0.583,0.4688,0.9942,0.9596,0.0466
AR1,0.5864,0.4691,1.0,,
VPC1+VPC4_nocov,0.5873,0.4583,1.0016,0.9705,0.1117
VPC1_nocov,0.5879,0.4691,1.0026,0.9339,0.1429
VPC2_nocov,0.5886,0.4551,1.0038,0.8768,0.3628
NoTrends,0.5948,0.4795,1.0143,,
NoTrends_cov,0.6008,0.4828,1.0246,,
AR2,0.6063,0.4474,1.034,,
VPC2+VPC4_cov,0.6081,0.5015,1.0371,0.7513,0.0648
VPC2_cov,0.7103,0.5191,1.2113,0.1557,0.0863
VPC1+VPC2_cov,0.8071,0.5412,1.3765,0.0934,0.0921
