,rmse_full
VPC3+VPC4_nocov,0.5324799850275796
VPC3_cov,0.5355181246437125
VPC1+VPC3_cov,0.543834526346747
VPC3+VPC4_cov,0.5456313911088486
VPC2+VPC3_nocov,0.5511110624825077
VPC1+VPC3_nocov,0.5580970006783985
VPC3_nocov,0.5610269804615224
VPC4_cov,0.563604247280775
VPC1+VPC4_cov,0.5685497548732406
VPC1_cov,0.5723492504401257
VPC1+VPC2_nocov,0.5745138112023028
VPC4_nocov,0.5802826133414823
VPC2+VPC4_nocov,0.5804022805512121
VPC2+VPC3_cov,0.5829854790484011
AR1,0.5863785243895558
VPC1+VPC4_nocov,0.5873244594777421
VPC1_nocov,0.5878844008944811
VPC2_nocov,0.5886276398798594
AR2,0.6063439540090085
VPC2+VPC4_cov,0.6081127441757522
VPC2_cov,0.7102548855675723
VPC1+VPC2_cov,0.8071293496589145
