Tarih,actual,Transition_best
2018-01-01,9.8,9.771254461812054
2018-02-01,10.0,9.731826712603846
2018-03-01,10.0,9.640723425501903
2018-04-01,10.2,9.75480211274855
2018-05-01,10.6,9.837384081464668
2018-06-01,10.7,10.085363696631836
2018-07-01,10.8,10.442291219283568
2018-08-01,11.2,10.576527592824377
2018-09-01,11.5,10.673378163690263
2018-10-01,11.6,11.115925208527852
2018-11-01,12.2,11.52508835296308
2018-12-01,12.7,11.699055415471156
2019-01-01,13.6,12.542814203572345
2019-02-01,13.8,13.068065119235637
2019-03-01,13.9,13.904135168411825
2019-04-01,13.8,13.940575265569333
2019-05-01,13.7,13.985323744302773
2019-06-01,13.7,13.990812546805905
2019-07-01,13.9,13.897903343136546
2019-08-01,14.1,13.745427346345174
2019-09-01,14.1,13.745619263822093
2019-10-01,13.5,13.839255836101115
2019-11-01,13.3,13.759574265894978
2019-12-01,13.4,13.020540105106633
2020-01-01,13.0,12.626701859422116
2020-02-01,12.6,12.614099840358477
2020-03-01,13.0,12.407720781705663
2020-04-01,13.5,12.786953512536162
2020-05-01,13.6,14.00511114496
2020-06-01,13.7,14.021215255296198
2020-07-01,14.1,13.54861935399909
2020-08-01,12.9,13.553725680501593
2020-09-01,12.6,13.788526217758255
2020-10-01,13.1,12.423164375305635
2020-11-01,13.0,12.079048333612935
2020-12-01,12.6,12.661890411964661
2021-01-01,12.3,12.613227632315978
2021-02-01,13.2,12.266840027800562
2021-03-01,12.9,11.893229656575222
2021-04-01,13.3,12.133960567138782
2021-05-01,13.4,11.501760693340302
2021-06-01,11.0,12.394653799638235
2021-07-01,11.6,13.055036065645766
2021-08-01,12.0,10.76650735331462
2021-09-01,11.3,11.439210989441095
2021-10-01,11.0,11.854589587924623
2021-11-01,11.2,11.207538846307582
2021-12-01,11.0,10.91360115790304
2022-01-01,11.3,11.116245057885285
2022-02-01,10.6,11.0032913491287
2022-03-01,11.2,11.331116192894164
2022-04-01,10.8,10.591729901237741
2022-05-01,10.8,11.142439960473514
2022-06-01,10.2,10.805396046412149
2022-07-01,10.2,10.78514633337122
2022-08-01,9.8,10.163639667044981
2022-09-01,10.1,10.178975887551193
2022-10-01,10.3,9.850640477353034
2022-11-01,10.1,10.136313488010206
2022-12-01,10.4,10.298728006843248
2023-01-01,9.7,10.113939859311769
2023-02-01,10.0,10.399017698006682
2023-03-01,10.1,9.692682516273074
2023-04-01,10.1,10.016395203300352
2023-05-01,9.5,10.131013016365497
2023-06-01,9.3,10.117864694617523
2023-07-01,9.4,9.563410882087645
2023-08-01,9.2,9.3825016715247
2023-09-01,9.0,9.490969341669606
2023-10-01,8.5,9.298310643669017
2023-11-01,8.9,9.108247369804184
2023-12-01,8.9,8.654584972048841
2024-01-01,9.2,9.024605477370995
2024-02-01,8.6,8.989766932388276
2024-03-01,8.8,9.259955152278572
2024-04-01,8.6,8.658317068815599
2024-05-01,8.4,8.862443271376264
2024-06-01,9.1,8.731339230208963
2024-07-01,9.0,8.540855754030964
2024-08-01,8.5,9.201639842232165
2024-09-01,8.6,9.103726410904702
2024-10-01,8.7,8.61210151952927
2024-11-01,8.4,8.720200660463227
2024-12-01,8.7,8.840309771792857
2025-01-01,8.5,8.567508895653464
2025-02-01,8.2,8.856970665723733
2025-03-01,8.0,8.682764234860088
2025-04-01,8.6,8.383856237079572
2025-05-01,8.4,8.163236826853746
2025-06-01,8.5,8.654604489154561
2025-07-01,8.1,8.446102906989577
2025-08-01,8.5,8.567462790804512
2025-09-01,8.6,8.159423819831423
2025-10-01,8.5,8.537023526348243
2025-11-01,8.6,8.607982765116233
2025-12-01,7.9,8.491950917121638
