Tarih;TCMB_unemp
2010-01;12,10
2010-02;12,10
2010-03;11,70
2010-04;11,30
2010-05;11,10
2010-06;10,90
2010-07;11,00
2010-08;11,00
2010-09;10,90
2010-10;10,60
2010-11;10,00
2010-12;10,00
2011-01;9,70
2011-02;9,40
2011-03;9,30
2011-04;9,30
2011-05;9,20
2011-06;9,20
2011-07;9,10
2011-08;8,80
2011-09;8,70
2011-10;8,30
2011-11;8,50
2011-12;8,30
2012-01;8,40
2012-02;8,50
2012-03;8,40
2012-04;8,10
2012-05;8,10
2012-06;8,10
2012-07;8,00
2012-08;8,30
2012-09;8,30
2012-10;8,40
2012-11;8,40
2012-12;8,60
2013-01;8,60
2013-02;8,60
2013-03;8,60
2013-04;8,80
2013-05;8,80
2013-06;8,80
2013-07;9,00
2013-08;9,00
2013-09;9,00
2013-10;9,10
2013-11;9,10
2013-12;9,00
2014-01;9,20
2014-02;9,50
2014-03;9,50
2014-04;9,70
2014-05;9,70
2014-06;9,70
2014-07;9,90
2014-08;10,20
2014-09;10,10
2014-10;10,40
2014-11;10,50
2014-12;10,30
2015-01;10,50
2015-02;10,70
2015-03;10,50
2015-04;10,50
2015-05;10,20
2015-06;10,20
2015-07;10,10
2015-08;10,10
2015-09;10,20
2015-10;10,20
2015-11;10,20
2015-12;10,40
2016-01;10,20
2016-02;10,10
2016-03;10,20
2016-04;10,10
2016-05;10,30
2016-06;10,70
2016-07;11,10
2016-08;11,10
2016-09;11,60
2016-10;11,50
2016-11;11,60
2016-12;12,10
2017-01;12,00
2017-02;11,90
2017-03;11,90
2017-04;11,60
2017-05;11,10
2017-06;11,00
2017-07;10,60
2017-08;10,50
2017-09;10,30
2017-10;10,30
2017-11;10,10
2017-12;9,90
2018-01;9,80
2018-02;10,00
2018-03;10,00
2018-04;10,20
2018-05;10,60
2018-06;10,70
2018-07;10,80
2018-08;11,20
2018-09;11,50
2018-10;11,60
2018-11;12,20
2018-12;12,70
2019-01;13,60
2019-02;13,80
2019-03;13,90
2019-04;13,80
2019-05;13,70
2019-06;13,70
2019-07;13,90
2019-08;14,10
2019-09;14,10
2019-10;13,50
2019-11;13,30
2019-12;13,40
2020-01;13,00
2020-02;12,60
2020-03;13,00
2020-04;13,50
2020-05;13,60
2020-06;13,70
2020-07;14,10
2020-08;12,90
2020-09;12,60
2020-10;13,10
2020-11;13,00
2020-12;12,60
2021-01;12,30
2021-02;13,20
2021-03;12,90
2021-04;13,30
2021-05;13,40
2021-06;11,00
2021-07;11,60
2021-08;12,00
2021-09;11,30
2021-10;11,00
2021-11;11,20
2021-12;11,00
2022-01;11,30
2022-02;10,60
2022-03;11,20
2022-04;10,80
2022-05;10,80
2022-06;10,20
2022-07;10,20
2022-08;9,80
2022-09;10,10
2022-10;10,30
2022-11;10,10
2022-12;10,40
2023-01;9,70
2023-02;10,00
2023-03;10,10
2023-04;10,10
2023-05;9,50
2023-06;9,30
2023-07;9,40
2023-08;9,20
2023-09;9,00
2023-10;8,50
2023-11;8,90
2023-12;8,90
2024-01;9,20
2024-02;8,60
2024-03;8,80
2024-04;8,60
2024-05;8,40
2024-06;9,10
2024-07;9,00
2024-08;8,50
2024-09;8,60
2024-10;8,70
2024-11;8,40
2024-12;8,70
2025-01;8,50
2025-02;8,20
2025-03;8,00
2025-04;8,60
2025-05;8,40
2025-06;8,50
2025-07;8,10
2025-08;8,50
2025-09;8,60
2025-10;8,50
2025-11;8,60
2025-12;7,90
2026-01;8,20
2026-02;8,50
;
;
;
;
;
;
